,Generation,Time Elapsed
0,0,117.495568
1,1,128.821492
2,2,225.67774300000002
3,3,402.825372
4,4,571.766884
5,5,752.6628949999999
6,6,922.2444929999999
7,7,1097.6808689999998
8,8,1273.2434819999999
9,9,1447.727072
10,10,1629.0260959999998
11,11,1809.6822899999997
12,12,1987.2696019999998
13,13,2169.5952049999996
14,14,2347.1970309999997
15,15,2525.9209789999995
16,16,2704.9907109999995
17,17,2875.4370479999993
18,18,3059.0086599999995
19,19,3238.7658039999997
20,20,3413.4011169999994
21,21,3586.583789999999
22,22,3754.155244999999
23,23,3936.581466999999
24,24,4111.836836999999
25,25,4284.622466999999
26,26,4463.401969999999
27,27,4638.365262999999
28,28,4815.891425999998
29,29,4984.524223999998
30,30,5166.979603999998
31,31,5342.2241669999985
32,32,5511.544597999999
33,33,5690.3983469999985
34,34,5870.580995999999
35,35,6044.7237479999985
36,36,6210.265830999999
37,37,6389.388184999999
38,38,6566.304909999999
39,39,6745.131048999999
40,40,6916.981183999998
41,41,7090.330064999998
42,42,7260.146442999998
43,43,7438.160247999997
44,44,7621.950777999998
45,45,7802.458790999997
46,46,7976.819657999998
47,47,8149.185934999998
48,48,8318.492703999998
49,49,8499.474536999998
50,50,8674.227473999998
51,51,8840.530830999998
52,52,9009.579337999998
53,53,9192.759937999997
54,54,9368.953910999997
55,55,9549.755229999997
56,56,9723.389877999996
57,57,9900.851227999996
58,58,10071.721378999995
59,59,10246.452556999995
60,60,10418.542664999995
61,61,10593.092596999995
62,62,10786.303588999996
63,63,10971.835046999995
64,64,11143.856976999996
65,65,11316.615368999996
66,66,11492.851253999996
67,67,11668.254399999996
68,68,11843.224379999996
69,69,12016.849643999996
70,70,12201.346264999996
71,71,12385.499758999997
72,72,12570.819303999997
73,73,12764.503342999997
74,74,12941.352275999996
75,75,13132.674368999997
76,76,13312.299132999997
77,77,13484.808643999997
78,78,13655.981152999997
79,79,13823.597219999998
80,80,13996.385326999998
81,81,14176.985666999999
82,82,14348.314928999998
83,83,14529.389147999998
84,84,14722.556433999998
85,85,14909.350717999998
86,86,15094.133600999998
87,87,15263.412301999997
88,88,15428.480095999998
89,89,15599.810603999998
90,90,15771.83773
91,91,15949.201001
92,92,16113.342122
93,93,16285.726607
94,94,16464.557754
95,95,16639.857269
96,96,16815.255136
97,97,16990.005854
98,98,17160.191757
99,99,17335.147031
