time,core_0,core_1,core_2,core_3,core_4,core_5,core_6,core_7,core_8,core_9,core_10,core_11
0.000219,3.7,8.0,3.4,8.3,4.6,3.5,3.3,7.7,2.8,7.1,4.4,2.6
0.012877,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
0.023314,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
0.033746,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
0.044159,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0
0.054618,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
0.065044,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0
0.076975,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
0.087392,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.097828,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.110816,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.121246,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.131654,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.142064,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
0.152487,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.162943,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0
0.173352,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
0.18484,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.195246,100.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
0.205675,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
0.216262,100.0,100.0,0.0,100.0,50.0,100.0,100.0,0.0,66.7,100.0,50.0,100.0
0.226915,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0
0.237532,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
0.248106,0.0,0.0,0.0,100.0,0.0,50.0,100.0,100.0,100.0,50.0,0.0,100.0
0.258708,50.0,66.7,100.0,50.0,50.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0
0.269133,0.0,0.0,0.0,0.0,50.0,100.0,100.0,50.0,0.0,0.0,100.0,0.0
0.279552,100.0,0.0,100.0,100.0,0.0,100.0,50.0,0.0,50.0,100.0,100.0,0.0
0.290062,100.0,100.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
0.30044,0.0,50.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,50.0,100.0,0.0
0.310831,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
0.321287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
0.331672,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.342029,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0,0.0
