,run_id,generation,time,time_elapsed,elapsed_time
0,7890d4ef-d2ce-4ddb-8e54-54fcd415d594,1,1723266772.492201,0.0,0.0
1,7890d4ef-d2ce-4ddb-8e54-54fcd415d594,2,1723266865.6318524,93.13965129852295,93.13965129852295
2,7890d4ef-d2ce-4ddb-8e54-54fcd415d594,3,1723266952.8345203,180.3423192501068,180.3423192501068
3,7890d4ef-d2ce-4ddb-8e54-54fcd415d594,4,1723267035.4192097,262.9270086288452,262.9270086288452
4,7890d4ef-d2ce-4ddb-8e54-54fcd415d594,5,1723267127.9247365,355.43253540992737,355.43253540992737
5,7890d4ef-d2ce-4ddb-8e54-54fcd415d594,6,1723267213.023389,440.53118801116943,440.53118801116943
6,7890d4ef-d2ce-4ddb-8e54-54fcd415d594,7,1723267306.166983,533.6747817993164,533.6747817993164
7,7890d4ef-d2ce-4ddb-8e54-54fcd415d594,8,1723267399.1291838,626.6369826793671,626.6369826793671
8,7890d4ef-d2ce-4ddb-8e54-54fcd415d594,9,1723267509.720249,737.2280478477478,737.2280478477478
9,7890d4ef-d2ce-4ddb-8e54-54fcd415d594,10,1723267616.2784748,843.7862737178802,843.7862737178802
10,f15dd0eb-eb89-4bf9-9995-582b4d39c3de,1,1723267770.9376752,998.4454741477966,998.4454741477966
11,f15dd0eb-eb89-4bf9-9995-582b4d39c3de,2,1723267914.1768086,1141.6846075057983,1141.6846075057983
12,f15dd0eb-eb89-4bf9-9995-582b4d39c3de,3,1723268065.595148,1293.1029469966888,1293.1029469966888
13,f15dd0eb-eb89-4bf9-9995-582b4d39c3de,4,1723268202.29716,1429.804958820343,1429.804958820343
14,f15dd0eb-eb89-4bf9-9995-582b4d39c3de,5,1723268368.5966177,1596.1044166088104,1596.1044166088104
15,f15dd0eb-eb89-4bf9-9995-582b4d39c3de,6,1723268540.122511,1767.6303098201752,1767.6303098201752
16,f15dd0eb-eb89-4bf9-9995-582b4d39c3de,7,1723268721.3640542,1948.8718531131744,1948.8718531131744
17,f15dd0eb-eb89-4bf9-9995-582b4d39c3de,8,1723268908.5393558,2136.0471546649933,2136.0471546649933
