,generation,time_elapsed
0,1,38.236809
1,2,70.153897
2,3,110.3826
3,4,173.696088
4,5,240.953143
5,6,321.701494
6,7,424.35681300000005
7,8,543.797536
8,9,670.473337
9,10,816.027548
