,generation,time_elapsed
0,1,3.84236
1,2,8.302069
2,3,13.256730999999998
3,4,18.785387
4,5,25.044712
5,6,32.281551
6,7,40.803613
7,8,50.101676999999995
8,9,60.72852099999999
9,10,72.783012
