,generation,time_elapsed
0,1,12.66376
1,2,26.931991
2,3,42.73013
3,4,60.343203
4,5,79.241771
5,6,100.371426
6,7,123.87992299999999
7,8,148.09753899999998
8,9,173.64824
9,10,201.17037599999998
