,generation,time_elapsed
0,1,15.723102
1,2,31.672942
2,3,48.195662
3,4,67.291124
4,5,85.926976
5,6,106.283373
6,7,127.739706
7,8,150.170228
8,9,174.51523500000002
9,10,201.764879
